"","id","neighbourhood_cleansed","latitude","longitude","room_type","accommodates","price","has_availability","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable"
"1",45392,"Mount Washington",34.10632,-118.22361,"Private room",3,"$60.00",TRUE,27,4.88,4.96,4.74,4.92,4.96,4.58,4.85,FALSE
"2",45417,"Silver Lake",34.09574,-118.27788,"Entire home/apt",4,"$135.00",TRUE,154,4.91,4.95,4.89,4.95,4.98,4.91,4.82,FALSE
"3",5728,"Del Rey",33.9875,-118.432,"Private room",1,"$50.00",TRUE,314,4.79,4.88,4.85,4.92,4.92,4.8,4.7,FALSE
"4",5729,"Del Rey",33.9875,-118.432,"Private room",1,"$65.00",TRUE,236,4.77,4.82,4.77,4.93,4.89,4.77,4.71,FALSE
"5",109,"Culver City",33.98301,-118.38607,"Entire home/apt",6,"$115.00",TRUE,2,4,5,5,3,4,5,4,FALSE
"6",46699,"Lynwood",33.91942,-118.20913,"Private room",2,"$75.00",TRUE,204,4.49,4.66,4.37,4.81,4.77,4,4.57,FALSE
"7",2708,"Hollywood",34.09625,-118.34605,"Private room",1,"$93.00",TRUE,37,4.84,4.81,4.92,5,4.97,5,4.86,TRUE
"8",6033,"Woodland Hills",34.16887,-118.64478,"Entire home/apt",3,"$89.00",TRUE,25,4.38,4.18,4,4.59,4.35,4.65,4.29,TRUE
"9",46853,"East Hollywood",34.08574,-118.28536,"Entire home/apt",2,"$150.00",TRUE,263,4.89,4.93,4.98,4.95,4.9,4.84,4.79,FALSE
"10",7992,"Atwater Village",34.11364,-118.26068,"Entire home/apt",4,"$100.00",TRUE,269,4.94,4.95,4.93,4.98,4.97,4.94,4.89,FALSE
"11",2732,"Santa Monica",34.0044,-118.48095,"Private room",1,"$179.00",TRUE,23,4.52,4.41,4.57,4.5,4.55,4.91,4.36,FALSE
"12",46858,"Culver City",34.01269,-118.40788,"Entire home/apt",6,"$300.00",TRUE,163,4.87,4.88,4.8,4.96,4.9,4.92,4.85,FALSE
"13",8021,"Beverly Hills",34.06881,-118.38158,"Private room",2,"$150.00",TRUE,236,4.81,4.9,4.82,4.86,4.87,4.92,4.84,FALSE
"14",47078,"Hollywood Hills",34.11536,-118.33211,"Entire home/apt",2,"$135.00",TRUE,458,4.8,4.87,4.71,4.97,4.93,4.88,4.79,FALSE
"15",3021,"Hollywood Hills West",34.1116,-118.38223,"Entire home/apt",2,"$118.00",TRUE,23,4.04,4.04,3.83,3.96,4.3,4.64,4,FALSE
"16",47537,"Malibu",34.0309,-118.75528,"Private room",4,"$450.00",TRUE,166,4.86,4.84,4.93,4.95,4.9,4.89,4.66,FALSE
"17",76561,"Ladera Heights",33.98522,-118.3616,"Entire home/apt",4,"$144.00",TRUE,720,4.81,4.83,4.66,4.95,4.93,4.65,4.77,FALSE
"18",9140,"Long Beach",33.77202,-118.18852,"Private room",2,"$80.00",TRUE,393,4.77,4.82,4.7,4.87,4.86,4.69,4.81,TRUE
"19",9376,"Venice",33.99782,-118.47698,"Private room",1,"$85.00",TRUE,53,4.69,4.92,4.47,5,5,4.95,4.58,FALSE
"20",47794,"Culver City",33.99344,-118.44295,"Private room",2,"$100.00",TRUE,3,5,5,5,5,5,5,4.67,FALSE
"21",49731,"Glendale",34.15533,-118.23708,"Entire home/apt",1,"$75.00",TRUE,26,5,5,4.96,5,5,4.96,5,FALSE
"22",10760,"Mid-Wilshire",34.0546,-118.35495,"Private room",2,"$74.00",TRUE,45,4.97,4.93,4.89,4.93,5,4.89,5,FALSE
"23",50005,"Hollywood",34.09641,-118.34979,"Entire home/apt",2,"$115.00",TRUE,138,4.8,4.79,4.6,4.96,4.94,4.9,4.78,FALSE
"24",79502,"Silver Lake",34.08197,-118.27831,"Entire home/apt",2,"$144.00",TRUE,295,4.8,4.84,4.89,4.95,4.87,4.93,4.72,FALSE
"25",51307,"Atwater Village",34.12206,-118.26783,"Entire home/apt",2,"$75.00",TRUE,138,4.64,4.77,4.55,4.89,4.85,4.95,4.76,FALSE
"26",79832,"Hollywood Hills",34.12801,-118.31919,"Entire home/apt",2,"$110.00",TRUE,484,4.9,4.89,4.77,4.96,4.95,4.93,4.91,FALSE
"27",11374,"Gardena",33.90507,-118.29217,"Private room",2,"$95.00",TRUE,75,4.43,4.61,4.44,4.73,4.63,4.25,4.37,FALSE
"28",51498,"Mar Vista",34.00389,-118.44126,"Entire home/apt",2,"$183.00",TRUE,370,4.73,4.83,4.79,4.94,4.91,4.83,4.74,FALSE
"29",11511,"Hollywood Hills",34.11408,-118.32234,"Entire home/apt",2,"$195.00",TRUE,7,4.83,5,5,5,5,5,5,FALSE
"30",80714,"Mid-Wilshire",34.05798,-118.35541,"Entire home/apt",1,"$119.00",TRUE,185,4.95,4.93,4.96,4.97,4.98,4.95,4.88,FALSE
"31",80734,"Hollywood Hills",34.10943,-118.34073,"Entire home/apt",4,"$99.00",TRUE,113,4.82,4.81,4.57,4.94,4.96,4.88,4.73,FALSE
"32",84636,"Lynwood",33.91942,-118.20913,"Private room",2,"$75.00",TRUE,269,4.48,4.63,4.43,4.75,4.67,4.05,4.58,FALSE
